epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.308,0.093192,0.097656,0.50034,0,0,1.5247,0.11328
1,2.3033,0.10212,0.089844,0.20678,0,0,1.083,
2,2.302,0.094866,0.10938,0.19468,0,0,1.1829,
3,2.3019,0.095982,0.089844,0.16298,0,0,1.1739,0.11328
4,2.3017,0.090402,0.089844,0.18519,0,0,0.80506,
5,2.3016,0.097656,0.10938,0.18668,0,0,0.8041,
6,2.3015,0.093192,0.10938,0.19404,0,0,0.9251,0.11328
7,2.3014,0.098772,0.10938,0.15035,0,0,0.62421,
8,2.3014,0.098772,0.089844,0.17473,0,0,0.72036,
9,2.3012,0.10435,0.089844,0.18804,0,0,0.77351,0.11328
10,2.3015,0.10435,0.089844,0.19683,0,0,0.62249,
11,2.3013,0.090402,0.089844,0.1857,0,0,0.97095,
12,2.3012,0.10212,0.10938,0.16573,0,0,0.80354,0.11328
13,2.3015,0.098772,0.10938,0.18562,0,0,0.65601,
14,2.3011,0.09654,0.10938,0.19162,0,0,0.66877,
15,2.3013,0.09096,0.097656,0.19258,0,0,0.94469,0.11328
16,2.3012,0.089844,0.089844,0.18446,0,0,0.94113,
17,2.3011,0.10435,0.089844,0.16818,0,0,0.64931,
18,2.3012,0.091518,0.10938,0.19381,0,0,1.0532,0.11328
19,2.3011,0.098772,0.10938,0.18443,0,0,0.87532,
20,2.3011,0.09933,0.097656,0.18557,0,0,0.67839,
21,2.3011,0.09933,0.097656,0.20534,0,0,0.86719,0.11328
22,2.301,0.10324,0.097656,0.1824,0,0,0.68283,
23,2.3011,0.10324,0.097656,0.19214,0,0,0.78493,
24,2.301,0.094308,0.089844,0.1848,0,0,0.97385,0.11328
25,2.301,0.10379,0.097656,0.16651,0,0,0.75997,
26,2.301,0.086496,0.10938,0.20721,0,0,0.80882,
27,2.301,0.097098,0.089844,0.18956,0,0,0.97143,0.11328
28,2.301,0.10324,0.097656,0.16821,0,0,0.88858,
29,2.301,0.10324,0.097656,0.18798,0,0,1.0835,0.11328
