epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.6065,0.10324,0.10156,4.3414,0,0,0.52483,0.57812
1,2.3236,0.10993,0.14062,1.928,0,0,0.38705,
2,2.307,0.12556,0.12109,1.8746,0,0,0.3614,
3,2.2733,0.14844,0.10547,1.5465,0,0,0.43712,0.64844
4,2.2696,0.14118,0.085938,1.8857,0,0,0.43934,
5,2.226,0.17467,0.20312,2.5683,0,0,0.38112,
6,2.1006,0.24051,0.30078,11.241,0,0,0.43188,0.65625
7,2.0079,0.26842,0.23828,20.724,0,0,0.3755,
8,1.9233,0.3298,0.35938,21.165,0,0,0.37501,
9,1.9462,0.32366,0.34375,23.266,0,0,0.43011,0.66797
10,1.8632,0.33984,0.375,21.582,0,0,0.36615,
11,1.7935,0.38225,0.31641,10.452,0,0,0.3696,
12,1.7734,0.37444,0.40234,15.619,0,0,0.57333,0.63672
13,1.7081,0.399,0.41016,11.504,0,0,0.48899,
14,1.7756,0.36105,0.35547,22.16,0,0,0.616,
15,1.7371,0.399,0.46094,22.705,0,0,0.47773,0.63281
16,1.6509,0.41853,0.47266,10.406,0,0,0.43839,
17,1.6371,0.42578,0.44531,13.771,0,0,0.38538,
18,1.626,0.43694,0.42188,15.238,0,0,0.41496,0.63281
19,1.6617,0.41853,0.38281,25.467,0,0,0.37455,
20,1.6203,0.43806,0.41406,19.081,0,0,0.36034,
21,1.6032,0.43917,0.42578,15.043,0,0,0.41796,0.64453
22,1.5926,0.45201,0.45703,13.845,0,0,0.35236,
23,1.6379,0.42634,0.46875,24.572,0,0,0.36767,
24,1.5839,0.44587,0.46875,13.697,0,0,0.48727,0.64844
25,1.5947,0.44141,0.47656,16.429,0,0,0.36277,
26,1.5909,0.44364,0.47656,18.347,0,0,0.37825,
27,1.5579,0.46708,0.44141,10.838,0,0,0.43108,0.64062
28,1.5671,0.45089,0.48828,13.754,0,0,0.37919,
29,1.554,0.46038,0.42969,10.414,0,0,0.65218,0.63672
