epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.9533,0.10882,0.11328,11.31,0,0,1.0812,0.47266
1,2.385,0.101,0.082031,2.8969,0,0,0.98069,
2,2.336,0.09654,0.11328,2.3069,0,0,0.92369,
3,2.3237,0.10324,0.11328,2.3762,0,0,1.0602,0.50781
4,2.3194,0.10045,0.125,2.2396,0,0,0.98712,
5,2.315,0.10547,0.125,2.5694,0,0,0.92531,
6,2.3153,0.11217,0.11328,2.4195,0,0,1.0722,0.54688
7,2.3116,0.11328,0.11719,2.1011,0,0,0.95538,
8,2.3077,0.10658,0.13672,2.0289,0,0,1.0494,
9,2.3068,0.1077,0.16406,2.2778,0,0,1.0652,0.54297
10,2.3065,0.12723,0.16016,2.4027,0,0,1.0502,
11,2.3055,0.10993,0.16406,2.2026,0,0,1.039,
12,2.3045,0.11272,0.1875,2.1724,0,0,1.1821,0.53125
13,2.3023,0.10491,0.16797,1.9183,0,0,0.89793,
14,2.3022,0.12667,0.11328,2.2348,0,0,0.87688,
15,2.3025,0.11105,0.17188,2.2596,0,0,0.9775,0.51953
16,2.3016,0.12779,0.14062,2.0837,0,0,0.98914,
17,2.2994,0.125,0.17188,1.8193,0,0,0.93751,
18,2.2991,0.14007,0.17578,1.8307,0,0,1.0384,0.49609
19,2.2988,0.10938,0.12891,1.9088,0,0,0.88918,
20,2.2988,0.13114,0.17188,2.1742,0,0,0.88128,
21,2.2983,0.12723,0.13281,2.101,0,0,1.0795,0.50391
22,2.2976,0.12054,0.17188,1.8246,0,0,1.0078,
23,2.2973,0.13225,0.17578,2.0552,0,0,0.99647,
24,2.2969,0.13337,0.16797,1.9852,0,0,1.0304,0.5
25,2.2975,0.14342,0.17188,1.9966,0,0,0.91389,
26,2.2965,0.12556,0.14844,1.9115,0,0,0.88672,
27,2.2964,0.12333,0.15625,1.8912,0,0,1.0443,0.48438
28,2.2964,0.13504,0.17188,1.8621,0,0,1.0191,
29,2.2962,0.12723,0.17188,2.0162,0,0,1.149,0.49609
