epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.5713,0.10379,0.14844,5.9079,0,0,0.47867,
1,2.3361,0.083705,0.13281,1.8369,0,0,0.45512,
2,2.316,0.091518,0.10938,1.2437,0,0,0.44691,
3,2.3026,0.10156,0.10938,0.016693,0,0,0.458,
4,2.3026,0.10156,0.10938,0,0,0,0.45883,
5,2.3026,0.095982,0.09375,0.016977,0,0,0.45032,
6,2.3038,0.10826,0.10938,0.35115,0,0,0.44662,
7,2.3026,0.10156,0.10938,0.0012236,0,0,0.4501,
8,2.3026,0.10156,0.10938,0.0081741,0,0,0.45824,
9,2.3026,0.10156,0.10938,0.0028502,0,0,0.45587,
