epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.314,0.092076,0.097656,0.72028,0,0,0.98904,0.12109
1,2.3033,0.10212,0.085938,0.20866,0,0,0.70741,
2,2.3025,0.1077,0.085938,0.20123,0,0,0.91769,
3,2.3029,0.1077,0.085938,0.20801,0,0,1.0209,0.12109
4,2.302,0.1077,0.085938,0.18693,0,0,0.86062,
5,2.3021,0.1077,0.085938,0.23348,0,0,1.0039,
6,2.3024,0.1077,0.085938,0.22932,0,0,1.0756,0.12109
7,2.3024,0.1077,0.085938,0.21219,0,0,0.86114,
8,2.3022,0.1077,0.085938,0.21652,0,0,0.88988,
9,2.3024,0.1077,0.085938,0.22644,0,0,0.98016,0.12109
10,2.3021,0.1077,0.085938,0.20828,0,0,0.8206,
11,2.3026,0.1077,0.085938,0.21883,0,0,0.79111,
12,2.3021,0.1077,0.085938,0.20427,0,0,1.0752,0.12109
13,2.302,0.1077,0.085938,0.20733,0,0,0.78387,
14,2.3023,0.1077,0.085938,0.20722,0,0,0.82176,
15,2.3021,0.1077,0.085938,0.22019,0,0,1.2321,0.12109
16,2.3019,0.1077,0.085938,0.1922,0,0,0.82802,
17,2.3019,0.1077,0.085938,0.20935,0,0,0.7978,
18,2.3019,0.1077,0.085938,0.19626,0,0,0.86754,0.12109
19,2.3019,0.1077,0.085938,0.20228,0,0,0.8155,
20,2.3019,0.1077,0.085938,0.21037,0,0,0.7619,
21,2.3018,0.1077,0.085938,0.20798,0,0,0.88942,0.12109
22,2.3019,0.1077,0.085938,0.19864,0,0,0.76328,
23,2.3018,0.1077,0.085938,0.20609,0,0,0.86129,
24,2.3018,0.1077,0.085938,0.21588,0,0,0.96425,0.12109
25,2.3018,0.1077,0.085938,0.20021,0,0,0.79387,
26,2.3018,0.1077,0.085938,0.18464,0,0,0.69499,
27,2.3018,0.1077,0.085938,0.1991,0,0,0.80353,0.12109
28,2.3018,0.1077,0.085938,0.20943,0,0,0.66139,
29,2.3018,0.1077,0.085938,0.20113,0,0,0.88071,0.12109
