epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.3452,0.10045,0.0625,1.8154,0,0,0.34025,
1,2.3289,0.10045,0.070312,1.6053,0,0,0.34366,
2,2.3195,0.10268,0.070312,1.3703,0,0,0.41058,
3,2.3149,0.10603,0.070312,1.3117,0,0,0.29412,
4,2.3122,0.10491,0.070312,1.3768,0,0,0.30376,
5,2.3104,0.11607,0.09375,1.3827,0,0,0.30475,
6,2.3087,0.12835,0.10156,1.3999,0,0,0.30701,
7,2.308,0.11942,0.085938,1.3174,0,0,0.40359,
8,2.3076,0.12054,0.09375,1.1573,0,0,0.38824,
9,2.3073,0.12165,0.09375,1.1043,0,0,0.33198,
