epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.5661,0.11105,0.16406,2.9759,0,0,0.56017,0.57422
1,2.3248,0.11049,0.10547,1.5546,0,0,0.42818,
2,2.2881,0.13002,0.15625,1.4849,0,0,0.39446,
3,2.246,0.15179,0.17578,1.3737,0,0,0.54701,0.57812
4,2.1974,0.16685,0.21094,1.7532,0,0,0.47052,
5,2.1289,0.21261,0.26562,2.0273,0,0,0.34196,
6,2.0413,0.25502,0.28516,2.5973,0,0,0.51679,0.625
7,1.9449,0.29576,0.375,3.2107,0,0,0.36353,
8,1.8253,0.34766,0.375,2.8965,0,0,0.36258,
9,1.7421,0.37221,0.36328,3.4112,0,0,0.51218,0.67188
10,1.6948,0.38281,0.40625,4.1314,0,0,0.33765,
11,1.6204,0.40792,0.42188,3.1234,0,0,0.32894,
12,1.5757,0.43694,0.42969,4.2252,0,0,0.46827,0.67578
13,1.5402,0.44866,0.42969,4.2394,0,0,0.33839,
14,1.5096,0.45257,0.46094,4.3125,0,0,0.30763,
15,1.4852,0.47321,0.46484,4.0562,0,0,0.44795,0.66406
16,1.4562,0.47824,0.47656,4.4217,0,0,0.45521,
17,1.4323,0.4827,0.48047,4.6418,0,0,0.35148,
18,1.3912,0.50335,0.49609,3.8021,0,0,0.62705,0.65234
19,1.372,0.50391,0.50781,4.8797,0,0,0.59356,
20,1.3384,0.52344,0.49219,3.5719,0,0,0.35552,
21,1.3148,0.53516,0.49609,4.8613,0,0,0.44545,0.63672
22,1.2934,0.53571,0.50781,4.3869,0,0,0.34166,
23,1.2688,0.54688,0.53125,4.061,0,0,0.33465,
24,1.2688,0.53237,0.53906,5.7139,0,0,0.41998,0.66797
25,1.2443,0.55022,0.54688,4.4171,0,0,0.3356,
26,1.2307,0.55915,0.53516,3.8977,0,0,0.31426,
27,1.2189,0.5625,0.54297,3.8291,0,0,0.40601,0.67969
28,1.2104,0.56473,0.55469,4.0236,0,0,0.37263,
29,1.2017,0.5692,0.57422,3.7563,0,0,0.38697,0.69922
