epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,0.71977,0.50056,0.44922,1.59,0,0,0.47232,
1,0.63679,0.72991,0.99219,0.75087,0,0,0.55447,
2,0.24232,0.99665,1,0.51062,0,0,0.47145,
3,0.00933,0.99888,1,0.30951,0,0,0.51391,
4,0.0033652,0.99944,1,0.2145,0,0,0.47362,
5,0.0026361,1,1,0.24202,0,0,0.46701,
6,0.0020969,1,1,0.12118,0,0,0.46888,
7,0.0020578,0.99944,0.99609,0.13099,0,0,0.47224,
8,0.0050183,0.99888,1,0.3938,0,0,0.46638,
9,0.0012997,1,1,0.049224,0,0,0.47067,
10,0.0012597,1,1,0.085474,0,0,0.46524,
11,0.0017748,1,1,0.25159,0,0,0.47086,
12,0.0017493,0.99944,1,0.66558,0,0,0.46292,
13,0.0016392,1,1,0.093691,0,0,0.46996,
14,0.0016947,1,1,0.073035,0,0,0.46894,
15,0.00068406,1,1,0.024468,0,0,0.47013,
16,0.00049006,1,1,0.0091894,0,0,0.4682,
17,0.0004162,1,1,0.0063576,0,0,0.47061,
18,0.00038812,1,1,0.0084426,0,0,0.46874,
19,0.00037017,1,1,0.0079508,0,0,0.47372,
20,0.00036123,1,1,0.0078835,0,0,0.47567,
21,0.0003462,1,1,0.0082539,0,0,0.46797,
22,0.0003333,1,1,0.0067651,0,0,0.47413,
23,0.00032552,1,1,0.0067443,0,0,0.46934,
24,0.00032133,1,1,0.0079148,0,0,0.4687,
25,0.00031299,1,1,0.007054,0,0,0.47838,
26,0.00030939,1,1,0.0069852,0,0,0.55084,
27,0.00030541,1,1,0.0072158,0,0,0.48443,
28,0.00030147,1,1,0.0074231,0,0,0.52539,
29,0.00029786,1,1,0.0066638,0,0,0.46861,
