epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.3576,0.10714,0.14062,1.6419,0,0,0.315,
1,2.3066,0.09375,0.0625,0.61664,0,0,0.29878,
2,2.3094,0.080357,0.0625,0.86111,0,0,0.33933,
3,2.3065,0.10156,0.085938,0.68483,0,0,0.74286,
4,2.3067,0.10268,0.0625,0.6933,0,0,0.50744,
5,2.3066,0.10714,0.14062,0.66366,0,0,0.33896,
6,2.306,0.10826,0.0625,0.55418,0,0,0.30194,
7,2.3061,0.10826,0.17188,0.74393,0,0,0.37246,
8,2.3054,0.10603,0.0625,0.569,0,0,0.29701,
9,2.3053,0.09933,0.0625,0.45633,0,0,0.28363,
