epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.3578,0.10156,0.10156,2.2263,0,0,0.53992,0.58984
1,2.2934,0.10993,0.10156,1.4324,0,0,0.45004,
2,2.2916,0.12444,0.09375,1.6724,0,0,0.48741,
3,2.2779,0.14342,0.25,1.4532,0,0,0.48398,0.625
4,2.2749,0.16239,0.10938,1.7653,0,0,0.44516,
5,2.2492,0.15346,0.13672,1.518,0,0,0.47524,
6,2.2332,0.16462,0.23047,2.5329,0,0,0.48414,0.60547
7,2.1368,0.19531,0.21094,6.3028,0,0,0.42173,
8,2.0891,0.22377,0.24219,14.357,0,0,0.4265,
9,2.1178,0.18527,0.29688,21.548,0,0,0.46573,0.66016
10,2.0249,0.22991,0.30078,10.292,0,0,0.41298,
11,1.9958,0.22656,0.27734,7.9014,0,0,0.48195,
12,2.0127,0.21708,0.20703,11.53,0,0,0.50758,0.66797
13,1.9967,0.22545,0.29688,10.815,0,0,0.55343,
14,1.9935,0.23828,0.28906,12.113,0,0,0.38913,
15,1.9613,0.24721,0.23828,8.0081,0,0,0.46036,0.61328
16,1.9443,0.2433,0.32031,8.7397,0,0,0.39926,
17,1.9806,0.23661,0.30469,12.711,0,0,0.39067,
18,1.9166,0.25279,0.31641,7.842,0,0,0.55967,0.66406
19,1.9159,0.25893,0.35156,8.6891,0,0,0.41021,
20,1.9004,0.26674,0.34766,6.7929,0,0,0.39984,
21,1.9008,0.28516,0.34375,10.256,0,0,0.48257,0.66406
22,1.8952,0.27344,0.34375,9.1817,0,0,0.41019,
23,1.88,0.27455,0.35156,5.2014,0,0,0.39803,
24,1.8713,0.27958,0.34375,6.5676,0,0,0.55266,0.65625
25,1.8707,0.28125,0.36328,7.0698,0,0,0.3837,
26,1.8673,0.2846,0.34375,7.0499,0,0,0.42189,
27,1.8612,0.28962,0.33594,7.1587,0,0,0.46261,0.66797
28,1.8529,0.28683,0.34766,5.7169,0,0,0.40019,
29,1.8533,0.30078,0.35547,5.9457,0,0,0.48046,0.67578
