epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.3622,0.081473,0.11328,1.4555,0,0,1.1318,0.53125
1,2.2992,0.10603,0.10938,0.59838,0,0,0.90518,
2,2.2938,0.092076,0.11719,0.63037,0,0,0.92052,
3,2.2944,0.10658,0.12891,0.80486,0,0,1.032,0.48828
4,2.2868,0.11161,0.17969,1.0406,0,0,0.87566,
5,2.27,0.14509,0.19141,1.5685,0,0,0.89394,
6,2.2444,0.18136,0.21484,1.801,0,0,1.0793,0.48828
7,2.194,0.21819,0.1875,2.4363,0,0,0.89695,
8,2.1563,0.21931,0.19922,3.1098,0,0,0.87741,
9,2.1264,0.23103,0.23438,4.1712,0,0,1.0086,0.55469
10,2.1094,0.24107,0.21875,3.6981,0,0,0.90318,
11,2.0768,0.23884,0.19922,3.8059,0,0,0.94332,
12,2.048,0.22489,0.21875,4.7111,0,0,1.0547,0.58984
13,2.0509,0.23493,0.1875,6.3938,0,0,0.85355,
14,2.0241,0.21875,0.17188,6.2435,0,0,1.0864,
15,1.99,0.25558,0.20703,5.1024,0,0,0.96571,0.59766
16,1.9572,0.25391,0.26172,6.0585,0,0,0.82585,
17,1.9335,0.27567,0.24609,6.575,0,0,1.0502,
18,1.9239,0.27623,0.25781,7.8084,0,0,0.96325,0.60938
19,1.9078,0.27455,0.27344,6.8511,0,0,0.93889,
20,1.8922,0.28906,0.21094,8.3394,0,0,0.90746,
21,1.8925,0.30246,0.24219,9.2577,0,0,1.1581,0.59375
22,1.8637,0.29576,0.26562,6.3279,0,0,0.90423,
23,1.8559,0.3058,0.24609,8.6348,0,0,0.94347,
24,1.8504,0.3019,0.24219,9.9734,0,0,1.09,0.58594
25,1.8405,0.31194,0.26172,6.7084,0,0,0.89827,
26,1.8358,0.29408,0.27344,9.5982,0,0,0.87865,
27,1.8298,0.30636,0.26172,9.2525,0,0,1.238,0.59766
28,1.8262,0.29967,0.25391,7.8343,0,0,0.99466,
29,1.818,0.30915,0.30078,7.0861,0,0,1.0126,0.60547
