epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,3.3532,0.10491,0.13281,16.993,0,0,0.48554,
1,2.5626,0.09933,0.13281,6.304,0,0,0.47219,
2,2.4221,0.09933,0.13281,3.4319,0,0,0.47099,
3,2.3718,0.09933,0.14062,2.7239,0,0,0.45111,
4,2.3514,0.095982,0.14062,2.3964,0,0,0.45327,
5,2.3426,0.085938,0.13281,2.4251,0,0,0.47875,
6,2.3389,0.090402,0.13281,2.5005,0,0,0.51305,
7,2.3358,0.083705,0.10938,2.4929,0,0,0.46868,
8,2.3336,0.082589,0.13281,1.709,0,0,0.47615,
9,2.3322,0.094866,0.14062,1.9697,0,0,0.47954,
