epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.3127,0.091518,0.097656,0.63376,0,0,0.89396,0.12109
1,2.3034,0.10491,0.085938,0.20782,0,0,0.58859,
2,2.3026,0.1077,0.085938,0.20223,0,0,0.51697,
3,2.3029,0.1077,0.085938,0.20835,0,0,0.64122,0.12109
4,2.302,0.1077,0.085938,0.1869,0,0,0.55838,
5,2.3021,0.1077,0.085938,0.23347,0,0,0.5424,
6,2.3024,0.1077,0.085938,0.22932,0,0,0.64471,0.12109
7,2.3025,0.1077,0.085938,0.21218,0,0,0.52027,
8,2.3022,0.1077,0.085938,0.21652,0,0,0.55287,
9,2.3024,0.1077,0.085938,0.22644,0,0,0.70855,0.12109
10,2.3021,0.1077,0.085938,0.20827,0,0,0.71004,
11,2.3027,0.1077,0.085938,0.21882,0,0,0.55199,
12,2.3021,0.1077,0.085938,0.20426,0,0,0.67525,0.12109
13,2.302,0.1077,0.085938,0.20733,0,0,0.5285,
14,2.3023,0.1077,0.085938,0.20722,0,0,0.55903,
15,2.3022,0.1077,0.085938,0.22018,0,0,0.76602,0.12109
16,2.3019,0.1077,0.085938,0.1922,0,0,0.55062,
17,2.3019,0.1077,0.085938,0.20936,0,0,0.55224,
18,2.3019,0.1077,0.085938,0.19626,0,0,0.66019,0.12109
19,2.3019,0.1077,0.085938,0.20229,0,0,0.53134,
20,2.3019,0.1077,0.085938,0.21037,0,0,0.53758,
21,2.3018,0.1077,0.085938,0.20798,0,0,0.64543,0.12109
22,2.3019,0.1077,0.085938,0.19864,0,0,0.54208,
23,2.3018,0.1077,0.085938,0.20609,0,0,0.6027,
24,2.3018,0.1077,0.085938,0.21588,0,0,0.82016,0.12109
25,2.3018,0.1077,0.085938,0.20021,0,0,0.57425,
26,2.3018,0.1077,0.085938,0.18464,0,0,0.44352,
27,2.3018,0.1077,0.085938,0.1991,0,0,0.48203,0.12109
28,2.3018,0.1077,0.085938,0.20943,0,0,0.40854,
29,2.3018,0.1077,0.085938,0.20113,0,0,0.49181,0.12109
