epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.322,0.10714,0.054688,1.2453,0,0,0.32405,
1,2.3075,0.095982,0.0625,0.87409,0,0,0.36661,
2,2.3019,0.10045,0.070312,0.61465,0,0,0.29717,
3,2.3007,0.11719,0.10156,1.065,0,0,0.34525,
4,2.3,0.11161,0.070312,0.98075,0,0,0.33293,
5,2.2985,0.11607,0.054688,0.91279,0,0,0.30975,
6,2.2992,0.11161,0.085938,1.0019,0,0,0.43178,
7,2.2991,0.12277,0.0625,0.98276,0,0,0.34813,
8,2.2976,0.12054,0.09375,0.78568,0,0,0.28101,
9,2.2973,0.1317,0.09375,0.80913,0,0,0.28092,
