epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,2.9006,0.10045,0.074219,4.2,0,0,0.47928,0.625
1,2.3446,0.10268,0.11719,1.4616,0,0,0.40233,
2,2.2995,0.10658,0.10938,1.2018,0,0,0.39857,
3,2.2606,0.13114,0.16406,1.2348,0,0,0.44428,0.55078
4,2.2115,0.15737,0.15234,1.4627,0,0,0.36835,
5,2.1328,0.16295,0.25,1.6395,0,0,0.41203,
6,2.0843,0.20424,0.30469,1.9431,0,0,0.58797,0.61328
7,2.0336,0.23661,0.32031,2.2261,0,0,0.47299,
8,1.9675,0.28404,0.3125,2.3226,0,0,0.46157,
9,1.9043,0.31696,0.34766,2.3898,0,0,0.74107,0.61328
10,1.8253,0.34542,0.39844,2.6796,0,0,0.72153,
11,1.7781,0.37946,0.42188,2.9796,0,0,0.62413,
12,1.7151,0.4135,0.44531,3.2901,0,0,0.68025,0.58203
13,1.6741,0.44364,0.48438,3.3972,0,0,0.5572,
14,1.6434,0.46038,0.46875,3.8649,0,0,0.54323,
15,1.5907,0.46317,0.50391,3.985,0,0,0.62816,0.56641
16,1.5665,0.4654,0.48047,4.7828,0,0,0.39992,
17,1.5326,0.48772,0.50781,4.2971,0,0,0.39968,
18,1.4968,0.49888,0.51953,3.7426,0,0,0.53331,0.58984
19,1.4695,0.50614,0.51172,4.4253,0,0,0.46051,
20,1.4503,0.51507,0.49219,4.5502,0,0,0.39393,
21,1.4301,0.52065,0.53906,4.6722,0,0,0.48022,0.60938
22,1.4136,0.524,0.51953,4.5581,0,0,0.37521,
23,1.3965,0.5279,0.51562,4.4844,0,0,0.38893,
24,1.3834,0.53181,0.53516,4.2085,0,0,0.54112,0.62109
25,1.3728,0.54074,0.53125,4.125,0,0,0.37124,
26,1.3609,0.53962,0.55859,4.024,0,0,0.38624,
27,1.3599,0.54408,0.55469,4.9756,0,0,0.50421,0.625
28,1.3483,0.5519,0.55859,4.2472,0,0,0.37551,
29,1.338,0.55357,0.55859,3.9319,0,0,0.45101,0.625
