epoch,loss,train_acc,val_acc,grad_total,grad_k,grad_w,sec,sel
0,0.70976,0.52065,0.70312,1.8818,0,0,0.53811,
1,0.58685,0.77958,0.92188,2.181,0,0,0.50282,
2,0.286,0.90346,0.95703,17.15,0,0,0.51549,
3,0.26321,0.89174,0.9375,12.982,0,0,0.46112,
4,0.1335,0.95368,0.98828,6.6883,0,0,0.49476,
5,0.060866,0.98438,0.99609,4.586,0,0,0.66898,
6,0.039594,0.99051,0.99609,2.5908,0,0,0.53412,
7,0.026104,0.99498,0.98828,4.4496,0,0,0.88044,
8,0.036998,0.98996,0.99609,3.5114,0,0,0.53559,
9,0.026309,0.99275,0.99609,1.7568,0,0,0.51151,
10,0.018191,0.99609,1,1.306,0,0,0.49489,
11,0.015915,0.99554,1,1.1603,0,0,0.53715,
12,0.014199,0.99665,1,1.0832,0,0,0.46732,
13,0.011153,0.99609,1,2.7464,0,0,0.61225,
14,0.0089188,0.99665,1,1.0626,0,0,0.50849,
15,0.0128,0.99665,1,0.6828,0,0,0.4696,
16,0.010484,0.99721,1,0.47823,0,0,0.46576,
17,0.017195,0.99442,1,2.2424,0,0,0.51276,
18,0.013527,0.99609,1,2.1758,0,0,0.592,
19,0.015151,0.99554,1,1.6361,0,0,0.54387,
20,0.0085593,0.99721,1,0.7024,0,0,0.54128,
21,0.0070499,0.99777,1,0.37416,0,0,0.47175,
22,0.0072644,0.99777,1,0.92825,0,0,0.47213,
23,0.0074431,0.99777,1,0.46686,0,0,0.47324,
24,0.0080785,0.99721,1,0.6915,0,0,0.46657,
25,0.0084418,0.99665,1,1.6445,0,0,0.64227,
26,0.0073166,0.99777,1,1.0329,0,0,0.60875,
27,0.0074086,0.99721,1,1.1477,0,0,0.5164,
28,0.0064221,0.99777,1,0.72713,0,0,0.59176,
29,0.0069602,0.99777,1,0.46581,0,0,0.51887,
